gene_id,gene_symbol,mean_Infant,mean_Early,mean_Pre-pub,mean_Post-pub,mean_Adult,fc_Infant_to_Early,fc_Early_to_Pre-pub,fc_Pre-pub_to_Post-pub,fc_Post-pub_to_Adult
ENSSSCG00000037539,SORCS2,14.426712835051546,2.9565802368421052,2.2409138444444445,0.6190588686868687,0.5554184,-2.2828695765204783,-0.3982899662506487,-1.8392438984732893,-0.1538762014294287
ENSSSCG00000036512,FGFRL1,77.36076162371133,15.591873513157894,14.230665366666667,4.3431669444444445,9.4912294,-2.310069193519297,-0.13170272710114883,-1.7098793011081348,1.126048852584051
ENSSSCG00000030303,ACHE,17.54454762886598,7.572370539473686,3.353830788888888,1.2899366666666665,1.7224726000000001,-1.2111239534695735,-1.1725438252620894,-1.3716637989891363,0.41439119913463596
ENSSSCG00000009972,KREMEN1,30.333723541237113,13.161795894736843,9.382758788888887,5.17077903030303,9.4215122,-1.2039460707962273,-0.4878311961525008,-0.8583799091675374,0.8643200524056077
ENSSSCG00000035805,DLK1,338.8430125670103,3.8646790921052627,6.371232488888889,0.6968936035353536,0.5846614,-6.450438958804605,0.7197582682772322,-3.1742701044507946,-0.24942465531311298
ENSSSCG00000039557,TRIM54,78.25831454639174,351.13879710526317,149.35568947777776,377.92707679040404,144.4349642,2.1655822101944318,-1.2332337057689602,1.3392972710475546,-1.387626150414299
ENSSSCG00000004454,ME1,2.7966967835051544,4.046300592105263,3.9060743333333336,6.938633507575757,16.9001914,0.5312913539248176,-0.050756417347802577,0.8273211408350325,1.2830917933538313
ENSSSCG00000016453,TCAF1,78.89350509793815,8.344889644736842,8.087391833333331,3.8158942146464647,2.9755832,-3.2393967121716543,-0.04516348130132996,-1.0816603073727953,-0.35778421073141675
ENSSSCG00000036501,WDR1,202.90040089175258,125.62410085526318,94.99914601111111,51.91436380555556,63.0548048,-0.69161470943891,-0.4030898023922888,-0.8716547656912481,0.2804234558827306
ENSSSCG00000012546,NRK,128.1792186958763,4.245969407894736,8.089394833333333,1.2535681792929294,0.32908,-4.912643338813618,0.9283263367161033,-2.6803106064758455,-1.8978059136427223
ENSSSCG00000011795,IGF2BP2,11.34409756185567,1.4867838947368421,1.8947497777777778,0.9557197222222222,2.4741910000000003,-2.923275197745389,0.3477355464179311,-0.9799250408132779,1.3630996550511232
ENSSSCG00000007586,FSCN1,123.7068130773196,32.53423965789473,18.91386768888889,6.219243558080808,6.3711604,-1.9265674618959177,-0.7821952294248684,-1.6030780922437193,0.03476181710480825
ENSSSCG00000009361,POSTN,602.3886609587629,44.084336368421056,54.325232533333335,2.503404121212121,2.397316,-3.772053295148134,0.3012946237116041,-4.434173425840739,-0.062217123813607327
ENSSSCG00000009364,FREM2,33.14768292268042,4.402457684210527,5.455134455555556,1.4852435883838384,1.3775578000000002,-2.9096888460117625,0.3086745472290264,-1.8698764587980785,-0.10783266182384793
ENSSSCG00000024043,ADAMTS2,51.086374603092786,16.61867648684211,15.974304611111112,6.4250655,2.6805348,-1.6195475865958615,-0.057017364120377785,-1.3126292435249327,-1.2580618660809104
ENSSSCG00000037292,PLA2G4E,0.0967737525773196,1.3854557236842107,0.7040855666666667,0.6491136262626263,0.5236268,3.708107401572806,-0.966567486547834,-0.11556976178567135,-0.3046960726161448
ENSSSCG00000023215,MAOB,5.700727128865979,24.20512055263158,10.777497966666665,15.683251967171715,33.3711266,2.0841618290712263,-1.1665478978039445,0.5407840521378022,1.0888883063082138
ENSSSCG00000023229,ETV5,34.164643592783506,16.723737184210528,7.541441777777777,5.4736434166666665,4.8876414,-1.0301666102699643,-1.1479356557959548,-0.46161736042681295,-0.16304761524366382
ENSSSCG00000001473,COL11A2,44.571400407216494,1.5036776710526316,0.9819803999999999,0.33336575757575754,0.12692,-4.8803120062360215,-0.6096745038423484,-1.5305654428697957,-1.3264129751386668
ENSSSCG00000036695,IGF2BP3,21.76420774226804,1.708845618421052,2.0546044777777777,0.37711527272727274,0.7458342,-3.66310834992066,0.2644254547976981,-2.4150302948507707,0.9653065722568427
ENSSSCG00000033830,CCDC8,177.42534169587628,28.2176480131579,25.440957144444447,13.432309974747476,8.1917778,-2.6521125647404324,-0.1493890120809437,-0.920938836027718,-0.712772513045518
