Symbol,A1,I1,A3,A4,I7,A6,A7,I4,A8,I6,A10
MIR520E,0,0,0,0,0,0,0,0,0,0,0
MIR520F,0,0,0,0,0,0,0,0,0,0,0
MIR520G,0,0,0,0,0,0,0,0,0,0,0
MIR520H,0,0,0,0,0,0,0,0,0,0,0
MIR521-1,0,0,0,0,0,0,0,0,0,0,0
MIR521-2,0,0,0,0,0,0,0,0,0,0,0
MIR522,0,0,0,0,0,0,0,0,0,0,0
MIR523,0,0,0,0,0,0,0,0,0,0,0
MIR524,0,0,0,0,0,0,0,0,0,0,0
MIR525,0,0,0,0,0,0,0,0,0,0,0
MIR526A1,0,0,0,0,0,0,0,0,0,0,0
MIR526A2,0,0,0,0,0,0,0,0,0,0,0
MIR526B,0,0,0,0,0,0,0,0,0,0,0
MIR527,0,0,0,0,0,0,0,0,0,0,0
MIR532,0,0,0,0,0,0,0,0,0,0,0
MIR539,0,0,0,0,0,0,0,0,0,0,0
MIR541,0,0,0,0,0,0,0,0,0,0,0
MIR542,0,0,0,0,0,0,0,0,0,0,0
MIR543,0,0,0,0,0,0,0,0,0,0,0
MIR544A,0,0,0,0,0,0,0,0,0,0,0
MIR544B,0,0,0,0,0,0,0,0,0,0,0
MIR545,0,0,0,0,0,0,0,0,0,0,0
MIR548A1,0,0,0,0,0,0,0,0,0,0,0
MIR548A2,0,0,0,0,0,0,0,0,0,0,0
MIR548A3,0,0,0,0,0,0,0,0,0,0,0
MIR548AA1,0,0,0,0,0,0,0,0,0,0,0
MIR548AA2,0,0,0,0,0,0,0,0,0,0,0
MIR548AB,0,0,0,0,0,0,0,0,0,0,0
MIR548AC,0,0,0,0,0,0,0,0,0,0,0
MIR548AD,0,0,0,0,0,0,0,0,0,0,0
MIR548AE1,0,0,0,0,0,0,0,0,0,0,0
MIR548AE2,0,0,0,0,0,0,0,0,0,0,0
MIR548AG1,0,0,0,0,0,0,0,0,0,0,0
MIR548AG2,0,0,0,0,0,0,0,0,0,0,0
MIR548AH,0,0,0,0,0,0,0,0,0,0,0
MIR548AI,0,0,0,0,0,0,0,0,0,0,0
MIR548AJ1,0,0,0,0,0,0,0,0,0,0,0
MIR548AJ2,0,0,0,0,0,0,0,0,0,0,0
MIR548AK,0,0,0,0,0,0,0,0,0,0,0
MIR548AL,0,0,0,0,0,0,0,0,0,0,0
MIR548AM,0,0,0,0,0,0,0,0,0,0,0
MIR548AN,0,0,0,0,0,0,0,0,0,0,0
MIR548AO,0,0,0,0,0,0,0,0,0,0,0
MIR548AP,0,0,0,0,0,0,0,0,0,0,0
MIR548AQ,0,0,0,0,0,0,0,0,0,0,0
MIR548AR,0,0,0,0,0,0,0,0,0,0,0
MIR548AS,0,0,0,0,0,0,0,0,0,0,0
MIR548AT,0,0,0,0,0,0,0,0,0,0,0
MIR548AU,0,0,0,0,0,0,0,0,0,0,0
MIR548AV,0,0,0,0,0,0,0,0,0,0,0
MIR548AW,0,0,0,0,0,0,0,0,0,0,0
MIR548AX,0,0,0,0,0,0,0,0,0,0,0
MIR548AY,0,0,0,0,0,0,0,0,0,0,0
MIR548AZ,0,0,0,0,0,0,0,0,0,0,0
MIR548B,0,0,0,0,0,0,0,0,0,0,0
MIR548BA,0,0,0,0,0,0,0,0,0,0,0
MIR548BB,0,0,0,0,0,0,0,0,0,0,0
MIR548C,0,0,0,0,0,0,0,0,0,0,0
MIR548D1,0,0,0,0,0,0,0,0,0,0,0
MIR548D2,0,0,0,0,0,0,0,0,0,0,0
MIR548E,0,0,0,0,0,0,0,0,0,0,0
MIR548F1,0,0,0,0,0,0,0,0,0,0,0
MIR548F2,0,0,0,0,0,0,0,0,0,0,0
MIR548F3,0,0,0,0,0,0,0,0,0,0,0
MIR548F4,0,0,0,0,0,0,0,0,0,0,0
MIR548F5,0,0,0,0,0,0,0,0,0,0,0
MIR548G,0,0,0,0,0,0,0,0,0,0,0
MIR548H1,0,0,0,0,0,0,0,0,0,0,0
MIR548H2,0,0,0,0,0,0,0,0,0,0,0
MIR548H3,0,0,0,0,0,0,0,0,0,0,0
MIR548H4,0,0,0,0,0,0,0,0,0,0,0
MIR548H5,0,0,0,0,0,0,0,0,0,0,0
MIR548I1,0,0,0,0,0,0,0,0,0,0,0
MIR548I2,0,0,0,0,0,0,0,0,0,0,0
MIR548I3,0,0,0,0,0,0,0,0,0,0,0
MIR548I4,0,0,0,0,0,0,0,0,0,0,0
MIR548J,0,0,0,0,0,0,0,0,0,0,0
MIR548K,0,0,0,0,0,0,0,0,0,0,0
MIR548L,0,0,0,0,0,0,0,0,0,0,0
MIR548M,0,0,0,0,0,0,0,0,0,0,0
MIR548N,0,0,0,0,0,0,0,0,0,0,0
MIR548O,0,0,0,0,0,0,0,0,0,0,0
MIR548O2,0,0,0,0,0,0,0,0,0,0,0
MIR548P,0,0,0,0,0,0,0,0,0,0,0
MIR548Q,0,0,0,0,0,0,0,0,0,0,0
MIR548S,0,0,0,0,0,0,0,0,0,0,0
MIR548T,0,0,0,0,0,0,0,0,0,0,0
MIR548U,0,0,0,0,0,0,0,0,0,0,0
MIR548V,0,0,0,0,0,0,0,0,0,0,0
MIR548W,0,0,0,0,0,0,0,0,0,0,0
MIR548X,0,0,0,0,0,0,0,0,0,0,0
MIR548X2,0,0,0,0,0,0,0,0,0,0,0
MIR548Y,0,0,0,0,0,0,0,0,0,0,0
MIR548Z,0,0,0,0,0,0,0,0,0,0,0
MIR549A,0,0,0,0,0,0,0,0,0,0,0
MIR550A1,0,0,0,0,0,0,0,0,0,0,0
MIR550A2,0,0,0,0,0,0,0,0,0,0,0
MIR550A3,0,0,0,0,0,0,0,0,0,0,0
MIR550B1,0,0,0,0,0,0,0,0,0,0,0
MIR550B2,0,0,0,0,0,0,0,0,0,0,0
MIR551A,0,0,0,0,0,0,0,0,0,0,0
MIR551B,0,0,0,0,0,0,0,0,0,0,0
MIR552,0,0,0,0,0,0,0,0,0,0,0
MIR553,0,0,0,0,0,0,0,0,0,0,0
MIR554,0,0,0,0,0,0,0,0,0,0,0
MIR555,0,0,0,0,0,0,0,0,0,0,0
MIR556,0,0,0,0,0,0,0,0,0,0,0
MIR557,0,0,0,0,0,0,0,0,0,0,0
MIR5571,0,0,0,0,0,0,0,0,0,0,0
MIR5572,0,0,0,0,0,0,0,0,0,0,0
MIR5579,0,0,0,0,0,0,0,0,0,0,0
MIR558,0,0,0,0,0,0,0,0,0,0,0
MIR5580,0,0,0,0,0,0,0,0,0,0,0
MIR5581,0,0,0,0,0,0,0,0,0,0,0
MIR5582,0,0,0,0,0,0,0,0,0,0,0
MIR5583-1,0,0,0,0,0,0,0,0,0,0,0
MIR5583-2,0,0,0,0,0,0,0,0,0,0,0
MIR5584,0,0,0,0,0,0,0,0,0,0,0
MIR5585,0,0,0,0,0,0,0,0,0,0,0
MIR5586,0,0,0,0,0,0,0,0,0,0,0
MIR5587,0,0,0,0,0,0,0,0,0,0,0
MIR5588,0,0,0,0,0,0,0,0,0,0,0
MIR5589,0,0,0,0,0,0,0,0,0,0,0
MIR559,0,0,0,0,0,0,0,0,0,0,0
MIR5590,0,0,0,0,0,0,0,0,0,0,0
MIR5591,0,0,0,0,0,0,0,0,0,0,0
MIR561,0,0,0,0,0,0,0,0,0,0,0
MIR562,0,0,0,0,0,0,0,0,0,0,0
MIR563,0,0,0,0,0,0,0,0,0,0,0
MIR564,0,0,0,0,0,0,0,0,0,0,0
MIR566,0,0,0,0,0,0,0,0,0,0,0
MIR567,0,0,0,0,0,0,0,0,0,0,0
MIR568,0,0,0,0,0,0,0,0,0,0,0
MIR5680,0,0,0,0,0,0,0,0,0,0,0
MIR5681A,0,0,0,0,0,0,0,0,0,0,0
MIR5681B,0,0,0,0,0,0,0,0,0,0,0
MIR5682,0,0,0,0,0,0,0,0,0,0,0
MIR5683,0,0,0,0,0,0,0,0,0,0,0
MIR5684,0,0,0,0,0,0,0,0,0,0,0
MIR5685,0,0,0,0,0,0,0,0,0,0,0
MIR5687,0,0,0,0,0,0,0,0,0,0,0
MIR5688,0,0,0,0,0,0,0,0,0,0,0
MIR5689,0,0,0,0,0,0,0,0,0,0,0
MIR569,0,0,0,0,0,0,0,0,0,0,0
MIR5690,0,0,0,0,0,0,0,0,0,0,0
MIR5691,0,0,0,0,0,0,0,0,0,0,0
MIR5692A1,0,0,0,0,0,0,0,0,0,0,0
MIR5692A2,0,0,0,0,0,0,0,0,0,0,0
MIR5692B,0,0,0,0,0,0,0,0,0,0,0
MIR5692C1,0,0,0,0,0,0,0,0,0,0,0
MIR5692C2,0,0,0,0,0,0,0,0,0,0,0
MIR5693,0,0,0,0,0,0,0,0,0,0,0
MIR5694,0,0,0,0,0,0,0,0,0,0,0
MIR5695,0,0,0,0,0,0,0,0,0,0,0
MIR5696,0,0,0,0,0,0,0,0,0,0,0
MIR5697,0,0,0,0,0,0,0,0,0,0,0
MIR5698,0,0,0,0,0,0,0,0,0,0,0
MIR5699,0,0,0,0,0,0,0,0,0,0,0
MIR570,0,0,0,0,0,0,0,0,0,0,0
MIR5700,0,0,0,0,0,0,0,0,0,0,0
MIR5701-1,0,0,0,0,0,0,0,0,0,0,0
MIR5701-2,0,0,0,0,0,0,0,0,0,0,0
MIR5701-3,0,0,0,0,0,0,0,0,0,0,0
MIR5702,0,0,0,0,0,0,0,0,0,0,0
MIR5703,0,0,0,0,0,0,0,0,0,0,0
MIR5704,0,0,0,0,0,0,0,0,0,0,0
MIR5705,0,0,0,0,0,0,0,0,0,0,0
MIR5706,0,0,0,0,0,0,0,0,0,0,0
MIR5707,0,0,0,0,0,0,0,0,0,0,0
MIR5708,0,0,0,0,0,0,0,0,0,0,0
MIR571,0,0,0,0,0,0,0,0,0,0,0
MIR572,0,0,0,0,0,0,0,0,0,0,0
MIR573,0,0,0,0,0,0,0,0,0,0,0
MIR5739,0,0,0,0,0,0,0,0,0,0,0
MIR574,0,0,0,0,0,0,0,0,0,0,0
MIR575,0,0,0,0,0,0,0,0,0,0,0
MIR576,0,0,0,0,0,0,0,0,0,0,0
MIR577,0,0,0,0,0,0,0,0,0,0,0
MIR578,0,0,0,0,0,0,0,0,0,0,0
MIR5787,0,0,0,0,0,0,0,0,0,0,0
MIR579,0,0,0,0,0,0,0,0,0,0,0
MIR580,0,0,0,0,0,0,0,0,0,0,0
MIR581,0,0,0,0,0,0,0,0,0,0,0
MIR582,0,0,0,0,0,0,0,0,0,0,0
MIR583,0,0,0,0,0,0,0,0,0,0,0
MIR584,0,0,0,0,0,0,0,0,0,0,0
MIR585,0,0,0,0,0,0,0,0,0,0,0
MIR586,0,0,0,0,0,0,0,0,0,0,0
MIR587,0,0,0,0,0,0,0,0,0,0,0
MIR588,0,0,0,0,0,0,0,0,0,0,0
MIR589,0,0,0,0,0,0,0,0,0,0,0
MIR590,0,0,0,0,0,0,0,0,0,0,0
MIR591,0,0,0,0,0,0,0,0,0,0,0
MIR592,0,0,0,0,0,0,0,0,0,0,0
MIR593,0,0,0,0,0,0,0,0,0,0,0
MIR595,0,0,0,0,0,0,0,0,0,0,0
MIR596,0,0,0,0,0,0,0,0,0,0,0
MIR597,0,0,0,0,0,0,0,0,0,0,0
MIR598,0,0,0,0,0,0,0,0,0,0,0
MIR599,0,0,0,0,0,0,0,0,0,0,0
MIR600,0,0,0,0,0,0,0,0,0,0,0
MIR600HG,19,32,30,24,6,17,30,24,56,22,34
MIR601,0,0,0,0,0,0,0,0,0,0,0
MIR602,0,0,0,0,0,0,0,0,0,0,0
MIR603,0,0,0,0,0,0,0,0,0,0,0
MIR604,0,0,0,0,0,0,0,0,0,0,0
MIR605,0,0,0,0,0,0,0,0,0,0,0
MIR606,0,0,0,0,0,0,0,0,0,0,0
MIR6068,0,0,0,0,0,0,0,0,0,0,0
MIR6069,0,0,0,0,0,0,0,0,0,0,0
MIR607,0,0,0,0,0,0,0,0,0,0,0
MIR6070,0,0,0,0,0,0,0,0,0,0,0
MIR6071,0,0,0,0,0,0,0,0,0,0,0
MIR6072,0,0,0,0,0,0,0,0,0,0,0
MIR6073,0,0,0,0,0,0,0,0,0,0,0
MIR6074,0,0,0,0,0,0,0,0,0,0,0
MIR6075,0,0,0,0,0,0,0,0,0,0,0
MIR6076,0,0,0,0,0,0,0,0,0,0,0
MIR6077,0,0,0,0,0,0,0,0,0,0,0
MIR6078,0,0,0,0,0,0,0,0,0,0,0
MIR6079,0,0,0,0,0,0,0,0,0,0,0
MIR608,0,0,0,0,0,0,0,0,0,0,0
MIR6080,0,0,0,0,0,0,0,0,0,0,0
MIR6081,0,0,0,0,0,0,0,0,0,0,0
MIR6082,0,0,0,0,0,0,0,0,0,0,0
MIR6083,0,0,0,0,0,0,0,0,0,0,0
MIR6084,0,0,0,0,0,0,0,0,0,0,0
MIR6085,0,0,0,0,0,0,0,0,0,0,0
MIR6086,0,0,0,0,0,0,0,0,0,0,0
MIR6087,0,0,0,0,0,0,0,0,0,0,0
MIR6088,0,0,0,0,0,0,0,0,0,0,0
MIR6089,0,0,0,0,0,0,0,0,0,0,0
MIR609,0,0,0,0,0,0,0,0,0,0,0
MIR6090,0,0,0,0,0,0,0,0,0,0,0
MIR610,0,0,0,0,0,0,0,0,0,0,0
MIR611,0,0,0,0,0,0,0,0,0,0,0
MIR612,0,0,0,0,0,0,0,0,0,0,0
MIR6124,0,0,0,0,0,0,0,0,0,0,0
MIR6125,0,0,0,0,0,0,0,0,0,0,0
MIR6126,0,0,0,0,0,0,0,0,0,0,0
MIR6127,0,0,0,0,0,0,0,0,0,0,0
MIR6128,0,0,0,0,0,0,0,0,0,0,0
MIR6129,0,0,0,0,0,0,0,0,0,0,0
MIR613,0,0,0,0,0,0,0,0,0,0,0
MIR6130,0,0,0,0,0,0,0,0,0,0,0
MIR6131,0,0,0,0,0,0,0,0,0,0,0
MIR6132,0,0,0,0,0,0,0,0,0,0,0
MIR6133,0,0,0,0,0,0,0,0,0,0,0
MIR6134,0,0,0,0,0,0,0,0,0,0,0
MIR614,0,0,0,0,0,0,0,0,0,0,0
MIR615,0,0,0,0,0,0,0,0,0,0,0
MIR616,0,0,0,0,0,0,0,0,0,0,0
MIR6165,0,0,0,0,0,0,0,0,0,0,0
MIR617,0,0,0,0,0,0,0,0,0,0,0
MIR618,0,0,0,0,0,0,0,0,0,0,0
MIR619,0,0,0,0,0,0,0,0,0,0,0
MIR620,0,0,0,0,0,0,0,0,0,0,0
MIR621,0,0,0,0,0,0,0,0,0,0,0
MIR622,0,0,0,0,0,0,0,0,0,0,0
MIR623,0,0,0,0,0,0,0,0,0,0,0
MIR624,0,0,0,0,0,0,0,0,0,0,0
MIR625,0,0,0,0,0,0,0,0,0,0,0
MIR626,0,0,0,0,0,0,0,0,0,0,0
MIR627,0,0,0,0,0,0,0,0,0,0,0
MIR628,0,0,0,0,0,0,0,0,0,0,0
MIR629,0,0,0,0,0,0,0,0,0,0,0
MIR630,0,0,0,0,0,0,0,0,0,0,0
MIR631,0,0,0,0,0,0,0,0,0,0,0
MIR632,0,0,0,0,0,0,0,0,0,0,0
MIR633,0,0,0,0,0,0,0,0,0,0,0
MIR634,0,0,0,0,0,0,0,0,0,0,0
MIR635,0,0,0,0,0,0,0,0,0,0,0
MIR636,0,0,0,0,0,0,0,0,0,0,0
MIR637,0,0,0,0,0,0,0,0,0,0,0
MIR638,0,0,0,0,0,0,0,0,0,0,0
MIR639,0,0,0,0,0,0,0,0,0,0,0
MIR640,0,0,0,0,0,0,0,0,0,0,0
MIR641,0,0,2,0,0,0,0,0,0,0,0
MIR642A,0,0,0,0,0,0,0,0,0,0,0
MIR642B,0,0,0,0,0,0,0,0,0,0,0
MIR643,0,0,0,0,0,0,0,0,0,0,0
MIR644A,0,0,0,0,0,0,0,0,0,0,0
MIR645,0,0,0,0,0,0,0,0,0,0,0
MIR646,0,0,0,0,0,0,0,0,0,0,0
MIR646HG,0,2,4,12,2,0,7,1,8,0,2
MIR647,0,0,0,0,0,0,0,0,0,0,0
MIR648,0,0,0,0,0,0,0,0,0,0,0
MIR649,0,0,0,0,0,0,0,0,0,0,0
MIR6499,0,0,0,0,0,0,0,0,0,0,0
MIR650,0,0,0,0,0,0,0,0,0,0,0
MIR6500,0,0,0,0,0,0,0,0,0,0,0
MIR6501,0,0,0,0,0,0,0,0,0,0,0
MIR6502,0,0,0,0,0,0,0,0,0,0,0
MIR6503,0,0,0,0,0,0,0,0,0,0,0
MIR6504,0,0,0,0,0,0,0,0,0,0,0
MIR6505,0,0,0,0,0,0,0,0,0,0,0
MIR6506,0,0,0,0,0,0,0,0,0,0,0
MIR6507,0,0,0,0,0,0,0,0,0,0,0
MIR6508,0,0,0,0,0,0,0,0,0,0,0
MIR6509,0,0,0,0,0,0,0,0,0,0,0
MIR651,0,0,0,0,0,0,0,0,0,0,0
MIR6510,0,0,0,0,0,0,0,0,0,0,0
MIR6511A1,0,0,0,0,0,0,0,0,0,0,0
MIR6511A2,0,0,0,0,0,0,0,0,0,0,0
MIR6511A3,0,0,0,0,0,0,0,0,0,0,0
MIR6511A4,0,0,0,0,0,0,0,0,0,0,0
MIR6511B1,0,0,0,0,0,0,0,0,0,0,0
MIR6511B2,0,0,0,0,0,0,0,0,0,0,0
MIR6512,0,0,0,0,0,0,0,0,0,0,0
MIR6513,0,0,0,0,0,0,0,0,0,0,0
MIR6514,0,0,0,0,0,0,0,0,0,0,0
MIR6515,0,0,0,0,0,0,0,0,0,0,0
MIR6516,0,0,0,0,0,0,0,0,0,0,0
MIR652,0,0,0,0,0,0,0,0,0,0,0
MIR653,0,0,0,0,0,0,0,0,0,0,0
MIR654,0,0,0,0,0,0,0,0,0,0,0
MIR655,0,0,0,0,0,0,0,0,0,0,0
MIR656,0,0,0,0,0,0,0,0,0,0,0
MIR657,0,0,0,0,0,0,0,0,0,0,0
MIR658,0,0,0,0,0,0,0,0,0,0,0
MIR659,0,0,0,0,0,0,0,0,0,0,0
MIR660,0,0,0,0,0,0,0,0,0,0,0
MIR661,0,0,0,0,0,0,0,0,0,0,0
MIR662,0,0,0,0,0,0,0,0,0,0,0
MIR663A,0,0,0,0,0,0,0,0,0,0,0
MIR663AHG,0,0,0,0,0,0,0,0,0,0,0
MIR663B,0,0,0,0,0,0,0,0,0,0,0
MIR664A,0,0,0,0,0,0,0,0,0,0,0
MIR664B,0,0,0,0,0,0,0,0,0,0,0
MIR665,0,0,0,0,0,0,0,0,0,0,0
MIR668,0,0,0,0,0,0,0,0,0,0,0
MIR670,0,0,0,0,0,0,0,0,0,0,0
MIR670HG,0,0,0,0,0,0,0,0,0,0,0
MIR671,0,0,0,0,0,0,0,0,0,0,0
MIR6715A,0,0,0,0,0,0,0,0,0,0,0
MIR6715B,0,0,0,0,0,0,0,0,0,0,0
MIR6716,0,0,0,0,0,0,0,0,0,0,0
MIR6717,0,0,0,0,0,0,0,0,0,0,0
MIR6718,0,0,0,0,0,0,0,0,0,0,0
MIR6719,0,0,0,0,0,0,0,0,0,0,0
MIR6720,0,0,0,0,0,0,0,0,0,0,0
MIR6721,0,0,0,0,0,0,0,0,0,0,0
MIR6722,0,0,0,0,0,0,0,0,0,0,0
MIR6723,0,0,2,3,1,2,4,1,1,3,4
MIR6724-1,0,0,0,0,0,0,0,0,0,0,0
MIR6724-2,0,0,0,0,0,0,0,0,0,0,0
MIR6724-3,0,0,0,0,0,0,0,0,0,0,0
MIR6724-4,0,0,0,0,0,0,0,0,0,0,0
MIR6726,0,0,0,0,0,0,0,0,0,0,0
MIR6727,0,0,0,0,0,0,0,0,0,0,0
MIR6728,0,0,0,0,0,0,0,0,0,0,0
MIR6729,0,0,0,0,0,0,0,0,0,0,0
MIR6730,0,0,0,0,0,0,0,0,0,0,0
MIR6731,0,0,0,0,0,0,0,0,0,0,0
MIR6732,0,0,0,0,0,0,0,0,0,0,0
MIR6733,0,0,0,0,0,0,0,0,0,0,0
MIR6734,0,0,0,0,0,0,0,0,0,0,0
MIR6735,0,0,0,0,0,0,0,0,0,0,0
MIR6736,0,0,0,0,0,0,0,0,0,0,0
MIR6737,0,0,0,0,0,0,0,0,0,0,0
MIR6738,0,0,0,0,0,0,0,0,0,0,0
MIR6739,0,0,0,0,0,0,0,0,0,0,0
MIR6740,0,0,0,0,0,0,0,0,0,0,0
MIR6741,0,0,0,0,0,0,0,0,0,0,0
MIR6742,0,0,0,0,0,0,0,0,0,0,0
MIR6743,0,0,0,0,0,0,0,0,0,0,0
MIR6744,0,0,0,0,0,0,0,0,0,0,0
MIR6745,0,0,0,0,0,0,0,0,0,0,0
MIR6746,0,0,0,0,0,0,0,0,0,0,0
MIR6747,0,0,0,0,0,0,0,0,0,0,0
MIR6748,0,0,0,0,0,0,0,0,0,0,0
MIR6749,0,0,0,0,0,0,0,0,0,0,0
MIR675,0,0,0,0,0,0,0,0,0,0,0
MIR6750,0,0,0,0,0,0,0,0,0,0,0
MIR6751,0,0,0,0,0,0,0,0,0,0,0
MIR6752,0,0,0,0,0,0,0,0,0,0,0
MIR6753,0,0,0,0,0,0,0,0,0,0,0
MIR6754,0,0,0,0,0,0,0,0,0,0,0
MIR6755,0,0,0,0,0,0,0,0,0,0,0
MIR6756,0,0,0,0,0,0,0,0,0,0,0
MIR6757,0,0,0,0,0,0,0,0,0,0,0
MIR6758,0,0,0,0,0,0,0,0,0,0,0
MIR6759,0,0,0,0,0,0,0,0,0,0,0
MIR676,0,0,0,0,0,0,0,0,0,0,0
MIR6760,0,0,0,0,0,0,0,0,0,0,0
MIR6761,0,0,0,0,0,0,0,0,0,0,0
MIR6762,0,0,0,0,0,0,0,0,0,0,0
MIR6763,0,0,0,0,0,0,0,0,0,0,0
MIR6764,0,0,0,0,0,0,0,0,0,0,0
MIR6765,0,0,0,0,0,0,0,0,0,0,0
MIR6766,0,0,0,0,0,0,0,0,0,0,0
MIR6767,0,0,0,0,0,0,0,0,0,0,0
MIR6768,0,0,0,0,0,0,0,0,0,0,0
MIR6769A,0,0,0,0,0,0,0,0,0,0,0
MIR6769B,0,0,0,0,0,0,0,0,0,0,0
MIR6770-1,0,0,0,0,0,0,0,0,0,0,0
MIR6770-2,0,0,0,0,0,0,0,0,0,0,0
MIR6770-3,0,0,0,0,0,0,0,0,0,0,0
MIR6771,0,0,0,0,0,0,0,0,0,0,0
MIR6772,0,0,0,0,0,0,0,0,0,0,0
MIR6773,0,0,0,0,0,0,0,0,0,0,0
MIR6774,0,0,0,0,0,0,0,0,0,0,0
MIR6775,0,0,0,0,0,0,0,0,0,0,0
MIR6776,0,0,0,0,0,0,0,0,0,0,0
MIR6777,0,0,0,0,0,0,0,0,0,0,0
MIR6778,0,0,0,0,0,0,0,0,0,0,0
MIR6779,0,0,0,0,0,0,0,0,0,0,0
MIR6780A,0,0,0,0,0,0,0,0,0,0,0
MIR6780B,0,0,0,0,0,0,0,0,0,0,0
MIR6781,0,0,0,0,0,0,0,0,0,0,0
MIR6782,0,0,0,0,0,0,0,0,0,0,0
MIR6783,0,0,0,0,0,0,0,0,0,0,0
MIR6784,0,0,0,0,0,0,0,0,0,0,0
MIR6785,0,0,0,0,0,0,0,0,0,0,0
MIR6786,0,0,0,0,0,0,0,0,0,0,0
MIR6787,0,0,0,0,0,0,0,0,0,0,0
MIR6788,0,0,0,0,0,0,0,0,0,0,0
MIR6789,0,0,0,0,0,0,0,0,0,0,0
MIR6790,0,0,0,0,0,0,0,0,0,0,0
MIR6791,0,0,0,0,0,0,0,0,0,0,0
MIR6792,0,0,0,0,0,0,0,0,0,0,0
MIR6793,0,0,0,0,0,0,0,0,0,0,0
MIR6794,0,0,0,0,0,0,0,0,0,0,0
MIR6795,0,0,0,0,0,0,0,0,0,0,0
MIR6796,0,0,0,0,0,0,0,0,0,0,0
MIR6797,0,0,0,0,0,0,0,0,0,0,0
MIR6798,0,0,0,0,0,0,0,0,0,0,0
MIR6799,0,0,0,0,0,0,0,0,0,0,0
MIR6800,0,0,0,0,0,0,0,0,0,0,0
MIR6801,0,0,0,0,0,0,0,0,0,0,0
MIR6802,0,0,0,0,0,0,0,0,0,0,0
MIR6803,0,0,0,0,0,0,0,0,0,0,0
MIR6804,0,0,0,0,0,0,0,0,0,0,0
MIR6805,0,0,0,0,0,0,0,0,0,0,0
MIR6806,0,0,0,0,0,0,0,0,0,0,0
MIR6807,0,0,0,0,0,0,0,0,0,0,0
MIR6808,0,0,0,0,0,0,0,0,0,0,0
MIR6809,0,0,0,0,0,0,0,0,0,0,0
MIR6810,0,0,0,0,0,0,0,0,0,0,0
MIR6811,0,0,0,0,0,0,0,0,0,0,0
MIR6812,0,0,0,0,0,0,0,0,0,0,0
MIR6813,0,0,0,0,0,0,0,0,0,0,0
MIR6814,0,0,0,0,0,0,0,0,0,0,0
MIR6815,0,0,0,0,0,0,0,0,0,0,0
MIR6816,0,0,0,0,0,0,0,0,0,0,0
MIR6817,0,0,0,0,0,0,0,0,0,0,0
MIR6818,0,0,0,0,0,0,0,0,0,0,0
MIR6819,0,0,0,0,0,0,0,0,0,0,0
MIR6820,0,0,0,0,0,0,0,0,0,0,0
MIR6821,0,0,0,0,0,0,0,0,0,0,0
MIR6822,0,0,0,0,0,0,0,0,0,0,0
MIR6823,0,0,0,0,0,0,0,0,0,0,0
MIR6824,0,0,0,0,0,0,0,0,0,0,0
MIR6825,0,0,0,0,0,0,0,0,0,0,0
MIR6826,0,0,0,0,0,0,0,0,0,0,0
MIR6827,0,0,0,0,0,0,0,0,0,0,0
MIR6828,0,0,0,0,0,0,0,0,0,0,0
MIR6829,0,0,0,0,0,0,0,0,0,0,0
MIR6830,0,0,0,0,0,0,0,0,0,0,0
MIR6831,0,0,0,0,0,0,0,0,0,0,0
MIR6832,0,0,0,0,0,0,0,0,0,0,0
MIR6833,0,0,0,0,0,0,0,0,0,0,0
MIR6834,0,0,0,0,0,0,0,0,0,0,0
MIR6835,0,0,0,0,0,0,0,0,0,0,0
MIR6836,0,0,0,0,0,0,0,0,0,0,0
MIR6837,0,0,0,0,0,0,0,0,0,0,0
MIR6838,0,0,0,0,0,0,0,0,0,0,0
MIR6839,0,0,0,0,0,0,0,0,0,0,0
MIR6840,0,0,0,0,0,0,0,0,0,0,0
MIR6841,0,0,0,0,0,0,0,0,0,0,0
MIR6842,0,0,0,0,0,0,0,0,0,0,0
MIR6843,0,0,0,0,0,0,0,0,0,0,0
MIR6844,0,0,0,0,0,0,0,0,0,0,0
MIR6845,0,0,0,0,0,0,0,0,0,0,0
MIR6846,0,0,0,0,0,0,0,0,0,0,0
MIR6847,0,0,0,0,0,0,0,0,0,0,0
MIR6848,0,0,0,0,0,0,0,0,0,0,0
MIR6849,0,0,0,0,0,0,0,0,0,0,0
MIR6850,0,0,0,0,0,0,0,0,0,0,0
MIR6851,0,0,0,0,0,0,0,0,0,0,0
MIR6852,0,0,0,0,0,0,0,0,0,0,0
MIR6853,0,0,0,0,0,0,0,0,0,0,0
MIR6854,0,0,0,0,0,0,0,0,0,0,0
MIR6855,0,0,0,0,0,0,0,0,0,0,0
MIR6856,0,0,0,0,0,0,0,0,0,0,0
MIR6857,0,0,0,0,0,0,0,0,0,0,0
MIR6858,0,0,0,0,0,0,0,0,0,0,0
MIR6859-1,0,0,0,0,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0,0,0,0,0
MIR6860,0,0,0,0,0,0,0,0,0,0,0
MIR6861,0,0,0,0,0,0,0,0,0,0,0
MIR6862-1,0,0,0,0,0,0,0,0,0,0,0
MIR6862-2,0,0,0,0,0,0,0,0,0,0,0
MIR6863,0,0,0,0,0,0,0,0,0,0,0
MIR6864,0,0,0,0,0,0,0,0,0,0,0
