tissue,gene_symbol,pig_gene_id,human_gene_id,log2fc_pig,log2fc_human,p_pig,p_human,fdr_pig,fdr_human,passes_strict,passes_pig_anchored
Brain,A1BG,ENSSSCG00000004001,ENSG00000121410,2.8687202090105317,-0.11218119848565494,1.3378653688265943e-06,0.7013681762939632,1.0724329781525943e-05,0.8570053989637171,False,False
Brain,A4GNT,ENSSSCG00000022473,ENSG00000118017,-0.17009387743234333,-0.7797751587018815,0.7673521940273281,0.1825783356054913,0.7931001342577397,0.45371807503555855,False,False
Brain,AACS,ENSSSCG00000009755,ENSG00000081760,1.0533021677361902,0.5413978394748746,0.02040650260953151,0.023092376766017938,0.02713977825734601,0.18931702091308245,False,True
Brain,AAK1,ENSSSCG00000008337,ENSG00000115977,2.7751797168562455,0.7067096074474521,1.91658365716604e-05,0.0051958213717703755,6.141108165191698e-05,0.1015009209002489,False,True
Brain,AARS2,ENSSSCG00000001706,ENSG00000124608,1.1141485507048179,0.11664160925735902,0.00014501124090495187,0.4998987806825286,0.00031118381254976053,0.7246974648375272,False,False
Brain,AARSD1,ENSSSCG00000037979,ENSG00000266967,1.3194299087068238,0.1397008812010845,0.001448329863806642,0.7008921710096174,0.0023444526450243763,0.8570053989637171,False,False
Brain,AASDH,ENSSSCG00000027403,ENSG00000157426,2.6430313419791522,0.31580973538612744,1.3439779205025539e-06,0.16959434737787624,1.0724329781525943e-05,0.4411659238475117,False,False
Brain,AASDHPPT,ENSSSCG00000014998,ENSG00000149313,2.8183032343074075,-0.059241763434396084,0.0004314025176122196,0.7564713305568991,0.0007848925241437685,0.8898613718715055,False,False
Brain,AASS,ENSSSCG00000016613,ENSG00000008311,2.105548620911361,0.013328578428923144,0.0006535943954844965,0.9824448719267589,0.0011371813226874606,1.0,False,False
Brain,ABAT,ENSSSCG00000007909,ENSG00000183044,2.5267127747995364,0.23855086227643996,1.3439779205025539e-06,0.3115557635409263,1.0724329781525943e-05,0.5879279979821995,False,False
Brain,ABCA2,ENSSSCG00000039264,ENSG00000107331,0.5371557050080638,0.71512131573932,0.17992494357945188,0.11020528289469259,0.20652326371602475,0.37007022990882643,False,False
Brain,ABCA3,ENSSSCG00000008051,ENSG00000167972,1.6528509979211186,-0.2084540591930581,5.269408620856092e-06,0.49970872753724216,2.2971184348927112e-05,0.7246974648375272,False,False
Brain,ABCA5,ENSSSCG00000017255,ENSG00000154265,2.801389044220699,0.3404774982567236,2.7824011134397003e-05,0.06211442469241129,7.782612979856561e-05,0.2965092275654965,False,False
Brain,ABCA8,ENSSSCG00000026473,ENSG00000141338,2.2874916385968693,1.2640175771255278,8.911964922869567e-06,0.23553124274415385,3.516397335143843e-05,0.5126348798895003,False,True
